Course,Sect,Professor Name,Total,A,A-,A+,B,B-,B+,C,C-,C+,D,D-,D+,Fs,Withdraw,Other
AAST233,101,"Panigrahi, Kerishma Vidya",30,9,9,0,1,0,3,0,0,0,0,0,0,1,1,6
AAST398G,101,"Liu, Rossina Zamora",18,10,0,1,0,0,0,0,0,0,0,0,0,2,1,4
AAST443,101,"Wong, Janelle",40,14,13,0,0,0,5,0,0,1,0,0,0,0,0,7
AAST498B,101,"Park, Julie",18,4,0,0,0,0,0,0,0,0,0,0,0,0,1,13
AAST498K,101,"Park, Terry K",19,3,4,2,1,0,2,0,0,0,0,0,0,0,3,4
AAST498M,101,"Nash, Philip Tajitsu",21,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AMSC460,101,"Rosenberg, Jonathan M.",33,9,0,1,0,0,0,0,0,0,0,0,0,1,1,21
AMSC460,201,"Shu, Ruiwen",36,10,0,17,1,0,3,0,0,0,0,0,0,0,1,4
AMSC460,301,"Yushutin, Vladimir S",31,9,0,7,1,0,0,0,0,0,0,0,0,0,0,14
AMSC460,401,"Yushutin, Vladimir S",32,13,0,4,2,0,0,0,0,0,0,0,0,2,1,10
AMSC466,101,"Cameron, Maria K.",21,3,0,4,2,1,0,0,0,0,0,0,0,4,2,5
AMSC661,101,"Imbert-Gerard, Lise-Marie",16,3,2,3,1,0,1,0,0,0,0,0,0,0,1,5
AMSC664,101,"Cameron, Maria K.",5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AMSC715,101,"Nochetto, Ricardo H.",8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1
AMSC764,101,"Goldstein, Thomas Aaron",96,68,0,4,1,0,0,0,0,0,0,0,0,0,2,21
AMSC899,6505,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AMST101,101,"Guerrero, Perla M",19,6,4,0,2,2,1,0,0,0,0,0,0,0,1,3
AMST101,102,,20,9,7,0,0,1,1,0,0,0,0,0,0,0,0,2
AMST101,103,,20,3,10,0,0,0,3,0,0,0,0,0,0,0,2,2
AMST101,104,,20,6,6,1,1,0,1,0,0,0,0,0,0,0,2,3
AMST202,101,"Shelley, Adelaida",25,15,0,1,0,0,0,0,0,0,0,0,0,1,0,8
AMST203,101,"Bramble, Yvonne",26,11,2,8,1,0,0,0,0,0,0,0,0,0,3,1
AMST203,102,"Abdullah-Smith, Hazim Karim",26,17,2,0,0,0,0,0,0,0,0,0,0,0,2,5
AMST205,101,"Hernndez, Wanda Roselee",25,4,3,1,2,0,4,0,0,1,0,0,0,0,1,9
AMST210,101,"Ali, Asim A",20,4,1,0,2,0,6,0,0,0,0,0,0,0,0,7
AMST212,101,"Marquez, Bayley J",25,6,4,0,1,0,2,0,0,0,0,0,0,0,0,12
AMST289A,101,"Mirabal, Nancy Raquel",15,3,6,0,0,0,1,0,0,0,0,0,0,0,1,4
AMST289A,102,,15,5,4,1,0,0,1,0,0,0,0,0,0,0,1,3
AMST289A,103,,15,3,0,8,1,0,1,0,0,0,0,0,0,0,0,2
AMST289A,104,,15,3,1,7,0,0,1,0,0,0,0,0,0,0,1,2
AMST328N,101,"Marquez, Bayley J",25,10,1,2,1,1,0,0,0,0,0,0,0,0,1,9
AMST328Q,101,"Preaster, T'Sey-Haye Marie",14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,5
AMST340,101,"Bruce, La Marr Jurelle",6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AMST418K,101,"Pramschufer, Susan",19,3,2,0,2,1,0,0,0,0,0,0,0,3,1,7
AMST450,101,"Chester, Robert Keith",12,2,0,0,0,0,0,1,0,0,0,0,0,0,2,7
AMST450,201,"Wong, Janelle",8,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2
AMST498K,101,"Maffie, James",8,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2
AMST498M,101,"Chester, Robert Keith",25,8,4,1,4,0,0,0,0,0,0,0,0,0,0,8
AMST498V,101,"Hanhardt, Christina B.",15,8,4,0,0,0,1,0,0,0,0,0,0,0,0,2
AMST602,101,"Sies, Mary C.",11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
AMST603,101,"Bruce, La Marr Jurelle",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
AMST629U,101,"Farman, Jason A.",14,1,0,8,0,0,0,0,0,0,0,0,0,0,2,3
AMST899,401,"Sies, Mary C.",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AMST899,501,"Williams-Forson, Psyche A",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ANSC101,101,"Balcom, Sarah Anne",36,8,3,5,4,1,1,1,0,0,0,0,0,2,3,8
ANSC103,101,"McLean, Megan",23,8,0,2,4,0,2,0,0,0,0,0,0,1,0,6
ANSC115,101,"Peters, Robert R.",9,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0
ANSC121,101,"Slattery, Racheal",7,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1
ANSC210,101,"Balcom, Sarah Anne",70,44,12,0,4,0,1,0,0,0,0,0,0,4,0,5
ANSC212,101,"VanKlompenberg, Monica K",96,10,11,1,14,10,14,0,0,3,0,0,0,1,0,32
ANSC214,101,"VanKlompenberg, Monica K",20,0,1,1,4,2,3,0,0,0,0,0,0,0,1,8
ANSC214,102,"VanKlompenberg, Monica K",19,3,4,0,3,2,3,0,0,1,0,0,0,0,0,3
ANSC214,103,"VanKlompenberg, Monica K",19,1,2,0,2,2,4,1,0,1,0,0,0,0,0,6
ANSC214,104,"VanKlompenberg, Monica K",19,2,1,1,3,1,2,0,0,0,0,0,0,0,0,9
ANSC214,105,"VanKlompenberg, Monica K",15,2,3,0,3,1,2,0,0,0,0,0,0,0,1,3
ANSC227,101,"Apter, R Charles",19,8,2,2,3,0,2,0,0,0,0,0,0,0,1,1
ANSC227,102,,20,5,4,0,0,1,4,0,0,0,0,0,0,1,0,5
ANSC227,103,,19,1,5,1,1,0,0,1,1,0,0,0,0,1,1,7
ANSC237,101,"Burk, Amy O.",14,3,5,0,1,0,0,0,0,0,0,0,0,1,1,3
ANSC245,101,"Balcom, Sarah Anne",15,11,0,2,0,0,0,0,0,0,0,0,0,0,0,2
ANSC245,102,,15,8,4,1,1,0,0,0,0,0,0,0,0,0,0,1
ANSC260,101,"Black, Angela",20,5,2,3,2,1,1,0,0,0,0,0,0,0,0,6
ANSC262,101,"Weimer, Shawna L",20,5,3,2,1,2,3,1,0,1,0,0,0,0,0,2
ANSC282,101,"Apter, R Charles",31,8,10,0,1,0,4,0,0,0,0,0,0,1,0,7
ANSC315,101,"Kohn, Richard A.",17,1,2,1,3,0,5,0,0,1,0,0,0,0,0,4
ANSC315,102,,22,7,2,0,9,0,1,0,0,0,0,0,0,0,0,3
ANSC315,103,,22,5,3,0,2,2,1,0,0,0,0,0,0,0,0,9
ANSC330,101,"Burk, Amy O.",12,0,4,0,0,2,0,1,0,0,0,0,0,0,0,5
ANSC359,101,"VanKlompenberg, Monica K",10,4,1,0,0,0,1,0,0,0,0,0,0,0,0,4
ANSC379,101,"Balcom, Sarah Anne",8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ANSC389,1801,"Hakenkamp, Christine Claire",11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ANSC399,5701,"Sunny, Nishanth E",5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ANSC435,101,"Keefer, Carol L",11,7,0,2,0,0,1,0,0,0,0,0,0,0,0,1
ANSC436,101,"Tablante, Nathaniel L.",14,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1
ANSC443,101,"VanKlompenberg, Monica K",5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ANSC444,101,"Porter, Tom E.",18,0,2,2,3,2,2,0,0,0,0,0,0,0,0,7
ANSC453,101,"Apter, R Charles",46,5,20,11,0,0,0,0,0,0,0,0,0,0,0,10
ANSC617,101,"Kohn, Richard A.",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANSC627,101,"Hamza, Iqbal",56,2,2,4,2,5,1,1,0,0,0,0,0,0,2,37
ANSC644,101,,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1
ANSC688J,101,"Biswas, Debabrata",40,3,4,0,5,0,8,0,0,0,0,0,0,0,0,20
ANSC688O,101,"Kim, Byung-Eun",12,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5
ANTH222,101,"Pavao-Zuckerman, Barnet",21,6,3,5,0,0,2,0,0,0,0,0,0,0,0,5
ANTH222,102,,23,7,4,3,0,1,0,0,0,0,0,0,0,0,0,8
ANTH222,103,,21,11,2,6,1,0,1,0,0,0,0,0,0,0,0,0
ANTH222,104,,23,8,1,3,1,1,1,0,0,0,0,0,0,0,2,6
ANTH222,105,,23,5,2,9,0,0,1,0,0,0,0,0,0,0,0,6
ANTH222,106,,20,9,1,3,2,0,1,0,0,0,0,0,0,0,0,4
ANTH240,101,"Leone, Mark P.",35,11,0,0,7,0,0,0,0,0,0,0,0,0,0,17
ANTH240,201,"Brighton, Stephen Anthony",25,13,1,0,0,0,3,0,0,0,0,0,0,0,1,7
ANTH240,202,,25,10,0,2,3,0,3,1,0,0,0,0,0,1,0,5
ANTH240,203,,25,15,0,2,3,0,0,0,0,0,0,0,0,1,0,4
ANTH242,101,"Hambrecht, George N.",61,44,3,5,0,0,1,0,0,0,0,0,0,0,1,7
ANTH260,101,"Gibbons, Kevin Stewart",51,6,1,37,1,0,0,0,0,0,0,0,0,0,2,4
ANTH266,101,"Shaffer, L Jen",78,17,9,40,1,0,0,0,0,0,0,0,0,0,0,11
ANTH267,101,"Orr, Yancey",59,35,0,0,8,0,0,0,0,0,0,0,0,1,3,12
ANTH310,101,"Sangaramoorthy, Thurka",17,1,6,4,1,0,1,0,0,0,0,0,0,1,2,1
ANTH340,101,"Brighton, Stephen Anthony",18,5,0,5,1,0,1,0,0,0,0,0,0,0,0,6
ANTH341,101,"Hambrecht, George N.",10,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1
ANTH404,101,"Martin, Marlaina",23,7,4,3,1,0,0,0,0,0,0,0,0,1,1,6
ANTH417,101,"Bienvenu, Robert V.",12,5,0,0,0,0,1,0,0,0,0,0,0,1,2,3
ANTH424,101,,20,15,2,0,0,0,1,0,0,0,0,0,0,0,1,1
ANTH434,101,"Woehlke, Stefan",14,9,0,1,0,0,0,0,0,0,0,0,0,0,0,4
ANTH464,101,"Lafrenz Samuels, Kathryn",31,7,1,11,0,0,0,0,0,0,0,0,0,1,3,8
ANTH467,101,"Shaffer, L Jen",14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,10
ANTH611,101,"Getrich, Christina Marisa",25,16,1,1,0,0,0,0,0,0,0,0,0,1,1,5
ANTH630,101,"Stewart, Marissa",13,5,1,6,0,0,0,0,0,0,0,0,0,0,0,1
ANTH722,101,"Orr, Yancey",12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANTH740,101,"Leone, Mark P.",10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ANTH745,PLA1,"Samuels, Joshua",11,4,1,3,0,0,1,0,0,0,0,0,0,0,0,2
ANTH746,PLA1,"Palus, Matthew M.",10,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3
ANTH856,101,"Gregory, Henry Duval",7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1
AOSC123,101,"Pinker, Rachel T.",18,2,1,1,0,2,1,1,0,0,0,0,0,0,0,10
AOSC123,102,,19,0,2,1,3,0,2,0,0,0,0,0,0,0,0,11
AOSC123,103,,21,0,5,1,1,1,4,0,0,0,0,0,0,0,1,8
AOSC123,104,,20,2,2,1,4,1,1,0,0,0,0,0,0,0,1,8
AOSC123,105,,20,4,3,3,1,1,1,0,0,0,0,0,0,0,0,7
AOSC123,106,,20,1,1,2,3,0,3,0,0,0,0,0,0,1,0,9
AOSC200,101,"Henrikson, Jeffrey Wayne",30,13,6,0,2,1,3,0,0,0,0,0,0,0,0,5
AOSC200,102,,31,13,6,1,2,1,2,0,0,0,0,0,0,0,1,5
AOSC200,103,,30,13,9,0,0,0,4,0,0,0,0,0,0,0,0,4
AOSC200,104,,32,11,7,0,3,0,3,0,0,0,0,0,0,0,0,8
AOSC200,201,"Henrikson, Jeffrey Wayne",30,12,5,1,1,0,3,0,0,0,0,0,0,0,0,8
AOSC200,202,,31,12,10,1,1,0,3,0,0,0,0,0,0,0,2,2
AOSC200,203,,29,7,9,2,0,0,4,0,0,0,0,0,0,0,0,7
AOSC200,204,,31,9,10,0,2,0,6,0,0,0,0,0,0,0,0,4
AOSC201,101,"Rodio, Lindsey Allison",26,14,2,1,1,0,2,0,0,0,0,0,0,0,0,6
AOSC201,102,"Hicks, Justin Daniel",25,10,3,0,2,0,1,0,0,0,0,0,0,0,0,9
AOSC201,103,"Hope, Austin Patrick",27,6,5,0,0,0,3,0,1,0,0,0,0,0,1,11
AOSC201,104,"Rodio, Lindsey Allison",24,14,1,0,1,0,3,0,0,0,0,0,0,0,0,5
AOSC201,105,"Knisely, Joseph Alan",25,11,2,1,1,1,0,0,0,0,0,0,0,0,1,8
AOSC201,106,"Knisely, Joseph Alan",26,20,2,2,0,0,0,0,0,0,0,0,0,0,0,2
AOSC201,107,"Hope, Austin Patrick",25,8,8,0,2,0,3,0,0,0,0,0,0,0,0,4
AOSC201,108,"Hicks, Justin Daniel",23,17,0,2,1,0,0,0,0,0,0,0,0,0,0,3
AOSC247,101,"Henrikson, Jeffrey Wayne",51,20,0,25,0,0,0,0,0,0,0,0,0,2,0,4
AOSC401,101,"Li, Zhanqing",23,6,4,1,2,1,3,0,0,0,0,0,0,0,1,5
AOSC424,101,"Lampkin, Derrick",14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AOSC432,101,"Ide, Kayo",16,8,0,0,0,0,1,0,0,0,0,0,0,0,1,6
AOSC433,101,"Salawitch, Ross J.",40,14,6,3,3,0,2,0,0,0,0,0,0,2,1,9
AOSC447,101,,18,0,1,10,2,0,0,0,0,0,0,0,0,0,0,5
AOSC472,101,"Poterjoy, Jonathan",10,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5
AOSC498,1201,"Canty, Timothy",6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2
AOSC611,101,"Zhang, Da-Lin",14,3,2,1,2,0,1,0,0,0,0,0,0,0,0,5
AOSC617,101,,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
AOSC621,101,,10,2,1,1,1,0,1,0,0,0,0,0,0,0,1,3
AOSC675,101,,10,3,3,0,1,0,1,0,0,0,0,0,0,0,1,1
AOSC899,1601,"Carton, James A.",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ARAB105,101,"Al-salami, Samah Ali",15,6,2,0,0,1,0,0,0,1,0,0,0,1,1,3
ARAB105,301,"Alkebsi, Lutf Y.",18,10,4,0,0,0,0,0,1,0,0,0,0,0,2,1
ARAB205,101,"Al-salami, Samah Ali",10,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1
ARAB205,201,"Alkebsi, Lutf Y.",5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ARAB207,101,"Hanafy, Ahmed Abdelsalam Ibrahim",8,0,2,1,1,0,0,0,0,0,0,0,0,0,0,4
ARAB305,101,,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5
ARAB305,201,"Hanafy, Ahmed Abdelsalam Ibrahim",6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2
ARAB398I,101,"Anishchenkova, Valerie",10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARAB398T,101,"Anishchenkova, Valerie",13,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2
ARAB499R,101,,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5
ARAB499Z,101,"Hanafy, Ahmed Abdelsalam Ibrahim",11,2,2,1,0,0,0,0,0,0,0,0,0,0,1,5
ARCH170,101,"Northen, Elijah Luke",18,6,1,2,2,1,2,0,0,0,0,0,0,1,0,3
ARCH170,102,,16,7,2,1,0,1,2,0,0,1,0,0,0,0,0,2
ARCH170,103,,19,6,4,5,0,0,1,0,0,0,0,0,0,0,2,1
ARCH170,104,,18,8,2,2,0,0,1,0,0,0,0,0,0,2,1,2
ARCH170,105,,18,7,1,2,1,0,2,0,0,0,0,0,0,0,1,4
ARCH200,101,"Abrams, Michael Carlos",16,1,4,0,2,0,4,0,0,0,0,0,0,0,0,5
ARCH200,102,"Abrams, Michael Carlos",10,1,2,0,0,1,3,0,0,0,0,0,0,0,0,3
ARCH200,103,"Abrams, Michael Carlos",17,0,3,0,1,0,2,0,0,0,0,0,0,0,3,8
ARCH200,104,"Abrams, Michael Carlos",10,0,1,0,2,0,1,1,0,0,0,0,0,0,0,5
ARCH200,105,"Abrams, Michael Carlos",16,0,1,0,2,3,4,0,0,0,0,0,0,0,1,5
ARCH200,106,"Abrams, Michael Carlos",10,0,4,0,0,0,2,0,0,0,0,0,0,0,0,4
ARCH200,107,"Abrams, Michael Carlos",15,1,5,0,0,0,2,0,0,0,0,0,0,1,1,5
ARCH200,108,"Abrams, Michael Carlos",10,0,1,1,1,0,2,0,0,0,0,0,0,0,1,4
ARCH225,101,"Williams, Joseph Chandler",144,15,14,0,12,4,9,2,0,4,0,0,0,0,5,79
ARCH271,101,"Curtis, Wayne Ricardo",84,26,11,25,2,2,7,0,0,0,0,0,0,0,1,10
ARCH289I,101,"Bennett, Ralph D.",19,4,1,2,2,0,2,0,0,0,0,0,0,0,0,8
ARCH289I,102,,19,2,2,2,1,0,3,0,0,0,0,0,0,1,0,8
ARCH289I,103,,18,4,4,2,0,0,1,0,0,0,0,0,0,0,0,7
ARCH289I,104,,17,1,5,0,1,0,3,0,0,0,0,0,0,0,0,7
ARCH289I,105,,18,4,2,2,1,0,1,1,0,0,0,0,0,0,2,5
ARCH400,101,"Abrams, Michael Carlos",29,4,8,1,3,1,4,0,0,0,0,0,0,0,2,6
ARCH400,102,"Filler, Kenneth P",27,4,8,0,2,4,7,0,0,0,0,0,0,0,0,2
ARCH400,103,"McKenley, Joseph",28,3,9,0,5,0,3,0,0,0,0,0,0,0,1,7
ARCH400,104,"Donahue, Alex Brian",29,10,7,0,0,0,6,0,0,0,0,0,0,0,1,5
ARCH400,105,"Akinsade, Olumide Oseyemi",28,3,0,1,2,3,9,0,0,0,0,0,0,0,1,9
ARCH402,101,"Williams, Brittany L",14,2,2,0,1,0,7,0,0,0,0,0,0,0,0,2
ARCH402,102,"Williams, Brittany L",14,2,5,0,1,0,2,0,0,0,0,0,0,0,1,3
ARCH402,103,"Williams, Brittany L",13,3,4,0,1,1,0,0,0,0,0,0,0,0,0,4
ARCH402,104,"Williams, Brittany L",13,3,3,0,3,0,1,0,0,0,0,0,0,0,0,3
ARCH402,105,"Gabrielli, Julie",7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCH402,SA48,,8,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0
ARCH407,101,"VanderGoot, Jana Kristina",7,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1
ARCH408,101,"Eisenbach, Ronit",14,11,0,2,0,0,0,0,0,0,0,0,0,0,0,1
ARCH408,102,"Tilghman, James W",13,2,4,0,0,0,3,0,0,0,0,0,0,1,0,3
ARCH420,101,"Hickman, Caroline Mesrobian",33,3,6,0,4,3,5,0,0,0,0,0,0,1,0,11
ARCH423,101,"Williams, Joseph Chandler",23,2,0,0,2,1,1,0,1,0,0,0,0,0,2,14
ARCH427,101,"Calleri, Christian Bret",16,1,5,0,0,0,4,0,0,0,0,0,0,0,0,6
ARCH428F,101,"Bell, Matthew J.",34,4,1,1,1,1,5,0,0,0,0,0,0,0,1,20
ARCH428U,101,"Burke, Juan Luis",22,2,0,15,0,0,0,0,0,0,0,0,0,0,1,4
ARCH428W,101,"May, Lindsey M",17,5,6,0,1,0,1,0,0,0,0,0,0,0,0,4
ARCH445,101,"Abrams, Michael Carlos",29,8,6,1,4,0,1,0,0,0,0,0,0,1,1,7
ARCH456,101,"Curry, Daniel B.",21,4,8,0,0,0,0,0,0,0,0,0,0,0,1,8
ARCH463,101,"Linn, Andrew P",146,22,23,25,8,6,7,4,0,0,0,0,0,3,6,42
ARCH465,101,"Hu, Ming",86,34,14,5,4,2,5,0,0,0,0,0,0,0,2,20
ARCH470,101,"Deisher, Scott",22,11,0,0,3,0,0,0,0,0,0,0,0,0,1,7
ARCH472,101,"Crawford, Douglas",20,9,4,0,1,0,1,0,0,0,0,0,0,0,1,4
ARCH472,102,"Crawford, Douglas",21,10,4,0,1,1,2,0,0,0,0,0,0,0,1,2
ARCH478C,101,"Gureckas, Vytenis Aleksandras",32,2,13,1,3,0,1,0,0,0,0,0,0,0,1,11
ARCH478N,101,"Linn, Andrew P",16,2,6,0,0,1,0,0,0,0,0,0,0,0,1,6
ARCH478Q,101,"Steen, Siobhan Marie",21,9,3,4,0,0,0,0,0,0,0,0,0,1,0,4
ARCH478T,101,"Gabrielli, Julie",19,12,1,1,0,0,0,0,0,0,0,0,0,0,0,5
ARCH601,101,"Simon, Madlen",9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
ARCH601,102,"Noonan, Peter Vincent",12,4,2,0,1,0,2,0,0,0,0,0,0,0,0,3
ARCH654,101,"Burke, Juan Luis",31,8,2,15,0,1,1,0,0,0,0,0,0,0,0,4
ARCH655,101,"Jenkins, Eric John",15,5,3,6,0,0,0,0,0,0,0,0,0,0,0,1
ARCH670,101,"Jacobs, Hiroshi",15,1,5,0,2,0,0,0,0,0,0,0,0,0,1,6
ARCH797,101,"Tilghman, James W",6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2
ARCH798,101,"Du Puy, Karl F.G.",11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6
AREC250,101,"Hunt, Jeffrey Paul",40,4,6,3,1,1,2,1,0,0,0,0,0,0,0,22
AREC326,101,,27,1,0,4,1,0,2,0,0,0,0,0,0,1,1,17
AREC345,101,"Jaffee, Steven",39,6,9,0,5,0,1,0,0,0,0,0,0,0,5,13
AREC345,102,,39,4,6,0,3,0,4,0,0,0,0,0,0,1,2,19
AREC360,101,"Devereux, Taryn",6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AREC365,101,,295,44,24,119,4,0,25,0,0,2,0,0,0,0,12,65
AREC433,101,"MacDonald, James",5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2
AREC435,101,"Johnson, Dale Maurice",30,17,1,1,0,1,0,0,0,0,0,0,0,0,0,10
AREC447,101,"Cai, Jing",62,15,9,5,3,2,6,0,0,0,0,0,0,1,3,18
AREC454,101,"Alberini, Anna",29,5,3,3,1,0,0,0,0,0,0,0,0,1,2,14
AREC456,101,"Linn, Joshua",48,5,7,0,1,0,2,0,0,0,0,0,0,1,1,31
AREC481,101,"Williams, Roberton C",79,8,4,6,6,1,5,0,0,1,0,0,0,1,3,44
AREC610,101,"Holzer Bilbao, Jorge G.",7,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1
AREC624,101,"Alberini, Anna",14,5,2,4,0,0,0,0,0,0,0,0,0,0,0,3
AREC815,101,"Uler, Neslihan",7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AREC845,101,"Cai, Jing",5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ARHU158P,101,"Nadler, Paula F",11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,6
ARHU318A,101,"Bernal, Lindsay Anne",13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARHU318B,101,"Salgado, Vivianne Alejandra",10,4,1,1,0,0,1,0,0,0,0,0,0,1,1,1
ARHU318W,101,"Mueck, Jacqueline Anne",8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ARHU320,101,"Schmidt, Johnna Marie",20,2,2,15,0,0,0,0,0,0,0,0,0,0,0,1
ARHU386,201,"Nadler, Paula F",6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1
ARHU398Q,102,,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHU468,101,"Bachert, Amanda L",28,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1
ARHU486,101,"Nadler, Paula F",6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2
ARMY105,101,"Andrews, John",19,7,7,0,0,0,1,0,0,0,0,0,0,0,1,3
ARMY105,102,"Andrews, John",18,7,6,0,2,0,2,0,0,0,0,0,0,0,0,1
